Planning Area,Subzone,Age,Sex,Count
Ang Mo Kio,Total,75,Females,760
Ang Mo Kio,Total,76,Total,"1,020"
Ang Mo Kio,Total,76,Males,460
Ang Mo Kio,Total,76,Females,560
Ang Mo Kio,Total,77,Total,"1,270"
Ang Mo Kio,Total,77,Males,590
Ang Mo Kio,Total,77,Females,680
Ang Mo Kio,Total,78,Total,"1,080"
Ang Mo Kio,Total,78,Males,460
Ang Mo Kio,Total,78,Females,610
Ang Mo Kio,Total,79,Total,"1,050"
Ang Mo Kio,Total,79,Males,440
Ang Mo Kio,Total,79,Females,600
Ang Mo Kio,Total,80,Total,"1,170"
Ang Mo Kio,Total,80,Males,510
Ang Mo Kio,Total,80,Females,660
Ang Mo Kio,Total,81,Total,"1,110"
Ang Mo Kio,Total,81,Males,470
Ang Mo Kio,Total,81,Females,640
Ang Mo Kio,Total,82,Total,970
Ang Mo Kio,Total,82,Males,400
Ang Mo Kio,Total,82,Females,570
Ang Mo Kio,Total,83,Total,740
Ang Mo Kio,Total,83,Males,330
Ang Mo Kio,Total,83,Females,410
Ang Mo Kio,Total,84,Total,580
Ang Mo Kio,Total,84,Males,250
Ang Mo Kio,Total,84,Females,330
Ang Mo Kio,Total,85,Total,540
Ang Mo Kio,Total,85,Males,240
Ang Mo Kio,Total,85,Females,300
Ang Mo Kio,Total,86,Total,590
Ang Mo Kio,Total,86,Males,230
Ang Mo Kio,Total,86,Females,370
Ang Mo Kio,Total,87,Total,480
Ang Mo Kio,Total,87,Males,200
Ang Mo Kio,Total,87,Females,280
Ang Mo Kio,Total,88,Total,420
Ang Mo Kio,Total,88,Males,170
Ang Mo Kio,Total,88,Females,260
Ang Mo Kio,Total,89,Total,310
Ang Mo Kio,Total,89,Males,120
Ang Mo Kio,Total,89,Females,190
Ang Mo Kio,Total,90 & Over,Total,"1,290"
Ang Mo Kio,Total,90 & Over,Males,380
Ang Mo Kio,Total,90 & Over,Females,910
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Total,"4,760"
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Males,"2,240"
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Females,"2,510"
Ang Mo Kio,Ang Mo Kio Town Centre,0,Total,20
Ang Mo Kio,Ang Mo Kio Town Centre,0,Males,10
Ang Mo Kio,Ang Mo Kio Town Centre,0,Females,10
Ang Mo Kio,Ang Mo Kio Town Centre,1,Total,30
Ang Mo Kio,Ang Mo Kio Town Centre,1,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,1,Females,10
Ang Mo Kio,Ang Mo Kio Town Centre,2,Total,40
Ang Mo Kio,Ang Mo Kio Town Centre,2,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,2,Females,10
Ang Mo Kio,Ang Mo Kio Town Centre,3,Total,50
Ang Mo Kio,Ang Mo Kio Town Centre,3,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,3,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,4,Total,30
Ang Mo Kio,Ang Mo Kio Town Centre,4,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,4,Females,10
Ang Mo Kio,Ang Mo Kio Town Centre,5,Total,50
Ang Mo Kio,Ang Mo Kio Town Centre,5,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,5,Females,20
Ang Mo Kio,Ang Mo Kio Town Centre,6,Total,40
Ang Mo Kio,Ang Mo Kio Town Centre,6,Males,20
